"","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"11","muamba_eats_toast","26 September 2019","I didn't expect much from this but it just worked perfectly. A great cast, enough of a storyline to work, great action, perfect amount of comedy and one liners thrown into lighten the mood and even a great ending. Most fun I've had at the cinema in months.","
            10/10
            "
"12","scottliddle76","24 November 2019","People rating this movie a 1 or 2 are simply just wrong. Your reasons for a low rating like that is just ridiculous. It's a comedy horror and clearly states that and the trailer clearly shows you that. Sooooo why moan about it having comedic moments in the movie? Just plain dumb.This is a comedy horror done right, it's dark humour breaks up the gore and violence up perfectly. The characters are perfect from the creepy over the top aunt to the leading protagonist Samara weaving. Acting is on point and the movie never slows up(dig to the crazy person saying it's boring)The movie actually has an ending, and what a great ending too. The movie delivers on everything they intended to give you and more.Sooo don't listen to the non constructive low critics and make your own decision and go watch","
            8/10
            "
"13","neil-476","12 November 2020","When Grace marries into the Le Domas family, whose great wealth is from the sales of games, it's not a huge surprise to find out that a family game features on her wedding night. The game is Hide and Seek, and it turns out that the object is not so much to avoid being found, it's more to avoid being found and killed.This simple idea is played for all it's worth between a varied crop of family members and the necessarily resourceful Grace. The cast is low profile but very good, the film is nicely staged, there is a decent story and script, and the combination of bloodshed and laughs works well. This is not laugh-out-loud, but the steady stream of black comedy is constantly amusing.I really liked this.","
            9/10
            "
"14","kluseba","23 August 2019","Ready or Not tries to be a mixture of a comedy and a horror movie and fails at both. The movie is never atmospheric, intense or scary enough to be a great horror movie. The film is never clever, surprising or vibrant enough to be an entertaining comedy movie. Even by poor b-movie standards, the story of this film is completely ridiculous in a way that it's almost insulting.If you were wondering why this film still deserves four points, the movie isn't entirely bad. The settings look great and especially the mansion where the sinister hide and seek game takes place is really gorgeous, including hidden hallways and elegant gardens. The movie features a few intense action scenes that make you root for the desperate lead character. The film has a fast pace and doesn't overstay its welcome with plodding storytelling. Lead actress Samara Weaving does her best with a poor script and has enough charisma to be the only great actress in this film.Ready or Not should be ignored since it's neither a gripping horror film nor a clever comedy. It's a shallow action film with a few gore elements. Movies like You're Next are similar in style but executed much better. The overtly positive reviews for Ready or Not show that expectations for horror movies have significantly decreased in an era of prequels, remakes, sequels and overall rehashed ideas. Refer to European or Asian cinema to find some creative horror movies these days.","
            4/10
            "
"15","tmpsvita","7 November 2020","Never seen a movie so dumb and so smart at te same time.
So dumb cause well just read the story it's almost ridiculously stupid but at the same time so smart cause it knows what it is: pure fun entertainment. It never takes itself too seriously, it often jokes about its nature and it plays with it constantly especially with over the top dialogs and grotesque characters that fit perfectly into every, absurd, situation.
Situations where the lead character, the spouse (that Samara Weaving plays with tons of charisma), acts exactly how we all would have done even with smart decisions that rarely in an horror a protagonist takes.
The intelligence of this movie is its awareness of how to work perfectly, with enough weirdness, enough absurdity, enough charisma, enough blood (so much blood) and this makes it a very fun, enjoyable experience.","
            7/10
            "
"16","samtko-04675","18 December 2019","This film is smarter than most films of it's nature but it's still silly, goofy, gory fun.
Samara weaving is fantastic as per usual (she always seems to steal the show in her films), it's not hard to have fun here and enjoy it for what it is (many people have tried looking more critically at it and miraculously failed).Enjoy the film, it's a hell of a ride. 8/10.","
            8/10
            "
"17","Fella_shibby","23 November 2019","A bride has to spend her wedding night playing a game of hide n seek with her in laws. Unknown to her, the family has a tradition of sacrificing the new member before dawn to please satan or they might lose their life.
Whether she gets killed or whether the mumbo jumbo truly exists is the highlight which gets bogged down by the lack of suspense or tension.
Rightly stated by BA_Harrison that the secret doors, rooms n servant tunnels r not covered properly.
The film does get a bit monotonous. The side characters get killed while our scream queen gets to survive a hell lottuva ordeal.
The maids r hot babes but they dont have much to do. None of the kills r memorable.
Watch out for aunt Helene with her comical hairstyle n a never give up attitude who is always ready with an axe.","
            7/10
            "
"18","MissCzarChasm","25 November 2019","You know that when a film garners this much hate and reviews which call it ""Sick, sick, sick"" and ""disgusting"", and go on and on about how all the ""violence is towards women, blah, blah"" ... it has to be something special.And this one is.It is resonatingly (yes, I made that up) witty and really quite funny. In fact, it is almost too funny to be a ""horror"" film, and although it was certainly gory, it had nowhere near the gore of most horror films. It was just right IF you are looking for a film to satisfy the horror-seeking fan in you and which makes you laugh at the same time. In my book, the best of both worlds.As for the reviews which mention violence towards women: get over it. I'm a woman and I detest women like these reviewers who demand to be seen as something more, but then fail to live up to being able to 'take it'. Grow up. You give real women like me a bad name by association.In closing, this is one I highly suggest you watch for yourselves and make up your own mind about, but go in knowing that there is humor in it and hardly any scares. In short, a bloody good time.","
            10/10
            "
"19","namob-43673","24 November 2019","I had no idea what to expect from this movie, but I am so happy I saw it. This is the third best movie of the year - not kidding.The movie manage to deliver all the blood, guts, and gory darkness you can possibly wish for together with plenty of laughs. This is horror, comedy and great acting in a movie which surprises and have one of the greatest ending of any movie I have seen in a long time.I do think that the movie feels too short, it should have been dragged out a little bit more - especially for us to get to know everyone a bit more so we feel more when they go poff or get their heads chopped off or shot or strangled or...
I also think a few things do not make total sense, however it is a horror drama comedy so I suppose that is not completely needed.
And sure, yes, it has a bit of that B-movie feel to it, the production value is not bad but it is not great either.
A few choices I wish was made different, but overall those are the negatives as I see them.I give it a 8/10, and I highly recommend.","
            8/10
            "
"20","GT-Lar","1 October 2019","Wow what a silly story i was shaking my head in disbelief all the way thru .... but gotta say it is an enjoyable romp and i loved the ending but i can see people really hating the whole film , just turn your brain off and enjoy the sillyness .....!!!!!","
            6/10
            "
"21","MamadNobari97","23 December 2019","Haven't enjoy a gory movie like this since The Cabin in the Woods. The last scene was the cherry on the top because I was waiting for THAT scene the whole movie.","
            7/10
            "
"22","paulclaassen","1 January 2020","Every once in a while a horror film comes along that blows me away. 'Ready or Not' is such a film. It's been a while since I've seen a horror film as satisfying (and as much fun) as this one.From the trailer, I expected a slapstick comedy horror, but this was not the case - thankfully. Although the film contains humor (that are actually funny and not slapstick), this was a nerve wrecking, suspenseful film that crawled in under my skin.Samara Weaving is FANTASTIC as Grace, the unsuspecting bride. The film might not have worked so well with another lead. She's the perfect lead for this film. 'Ready or Not' is a very different and refreshing take on the slasher genre. I also loved the setting in the big mansion. The film is wonderfully mysterious in the beginning and keeps you guessing until the finale. There's a few unexpected twists, as well. Insanely entertaining!","
            7/10
            "
"23","HollywoodFlicks","21 November 2019","Anyone rating this movie a 1 or 2 probably only watches 5-10 movies a year. I've watched over 100 this year and can say that this one isn't bad. It's a fun Dark comedy Thriller. Easily a 6-8 depending on preference.","
            6/10
            "
"24","GusherPop","30 November 2022","Grace (Samara Weaving) loves Alex Le Domas (Mark O'Brien) so much that she's tolerated the hoops through which his family have made her jump: Alcoholic wastrel Daniel (Adam Brody) hitting on her, mother Becky (Andie MacDowell) being somewhat cagey about her approval, sister Emilie (Melanie Scrofano) not even showing up in time for the ceremony, father Tony (Henry Czerny) outright voicing his displeasure at the girl's status and aunt Helene (Nicky Guadagni) staring daggers at her from the moment they met. They're a bizarre bunch but Grace sees the light at the end of the tunnel now that they've all congregated at the Le Domas manor for the nuptials. However, and it's a big however, the film is charismatic and thrilling enough to bypass its shortcomings. Weaving makes for a very likable hero, with a broad comedic appeal, an every-girl clumsiness and sarcastic rejoinder for everything. In a better world, she'd be headlining comedies already. She makes for a likable action hero precisely because she knows and shows that the clothes don't fit her. In her tattered wedding dress, she fights for her life against everyone from her young nephews to the butler. Every wound she receive shows her that the backwards morality by which the rich live is so deeply ingrained that no amount of pleading could right the course. It's also her first clue that not even her beloved Alex will be able to get her out of this jam. She's not just fighting people, she's fighting tradition and the idea of family. By the time the games come to an end, ""Ready or Not"" has ceased to be about the rich and the poor. It's about a girl trying to survive a violent ordeal, which is potent enough for the moment you're watching the film, but in a climate in which politics can pull a film from a release schedule, now is not the time to hide.","
            8/10
            "
"25","Bibliophile100","8 February 2023","As Katniss Everdeen said in the final book (and film) of The Hunger Games: ""There are much worse games to play"". The game in the comedy horror film Ready or Not...is definitely one of those ""worse games""!When a bride-to-be is married into a lavish, rich, and weird family, she soon discovers that they really stick to tradition...and tradition in this house, is anything but fun and games! Each time someone is welcomed into the family, they must play a game. For the bride, the game is hide and seek. All she has to do, is avoid being caught by dawn. Sounds easy right? Well, not with the family armed with ancient weapons and planning to perform a ritual on you it isn't! With the bride's new husband being the only reluctant and helpful one, she must outwit, out hide, and out smart the deranged and insane clan, until a supposable curse threatens to, supposably kill the family!I made a brilliant choice to see this film! And you will too, if you decide to play the game! The direction of Mr. Matt Bettinelli Olpin, and Mr. Tyler Gillett is excellent! I loved how the camera follows and moves with those who are running for their lives, and the still shots on lots of stuffed animal heads and pictures on the walls; these shots made the film seem a bit like a 90's or 80's era film, which I appreciated. The dark humor was pretty good too, but I especially loved the acting. I adored all the cast members and their splendid talent, especially, Samara Weaving, who played the traumatized, and frightened bride! As for the supposable death that will befall the family if dawn arrives...well, even they aren't sure if it's true! And that's part of the curious mystery!To any brides-to-be-wedded-into-a-new-family, be careful whose family you're welcomed to join, for as the words on the movie poster say: ""In-laws can be murder!""","
            7/10
            "
