"","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"11","CANpatbuck3664","14 October 2017","Every negative review for this movie is going to point out that this movie is built around a concept that we've seen before. Our protagonist is forced to live through the same day again and again. Groundhog Day and Edge of Tomorrow (both excellent movies) made this idea popular and for some people, they won't be able to get past the fact that this isn't brand new gimmick. I don't have a problem if movies borrow from other movies, they just need to do it effectively and put a fresh spin on it. Happy Death Day certainly accomplishes that. At the beginning, the journey hits the first couple of familiar notes but when Tree starts to realize what's happening, that's when the movie shifts gears. They aren't afraid to play with Tree's tragic end day after day and the movie functions for whole periods as a straight comedy. Luckily, this movie is really funny when it wants to be. The writers know enough to play with certain genre clichés and there's a surprising amount of tongue-in-cheek humour here. The marketing for this is a little misleading, it makes this movie look like a traditional slasher movie when it really ends up being a mishmash of comedy, mystery and horrorOther than the living the same day plot point, Happy Death Day centres around the mystery of who Tree's killer is. The movie throws a bunch of obvious red herrings at you right off the bat and I was glad they took it a less obvious direction. I don't think they overplay their hand either, there are a couple of hints here and there but I think you'd have to be pretty perceptive to guess the twists and turns that Day's plot takes. If I had one complaint, there was a point where they looked like they were heading towards a very sentimental resolution that could have been corny. Its a case of me wanting that for these characters. They bypass that though and keep going and while I understand the decision, I might have preferred that wrap-up instead.Another turnoff for certain audience members might be Tree's personality as a character. She's a real b!#@% when we first meet her and I'm not exaggerating. The first time she meets her killer, I wasn't feeling sorry for her. But even when she's at her worst, she still has a certain charisma that you want to keep rooting for her. Writing characters that aren't perfect and are selfish that you want to follow is an art that so many horror movies get wrong. I liked how Tree grows (no pun intended) and by the end I really wanted her to find a happy ending somehow.I don't often get to really discover actors and actresses. Most of the movies I watch are pretty mainstream and by the time someone becomes a lead, you've probably heard about them from somewhere. I wasn't familiar with Jessica Rothe at all but she anchored this movie as Tree. This is a stand up and take notice kind of performance, she's multi-faceted in handling both the drama and the comedy in this movie. I hope this movie is just a stepping stone to bigger things for her and I think the last time I walked away from a movie so impressed with an actress I didn't know was Margot Robbie in The Wolf of Wall Street. Israel Broussard is easy to like as Carter, he's easy going enough that his character's relationship with Tree builds up organically. Rachel Matthews is funny as Danielle Bouseman, she's playing a very stereotypical character (stuck up sorority rich girl) but she nails it. Ruby Modine is sweet as Lori and Charles Aitken is appropriately slimy as Gregory Butler,I couldn't believe how charmed I was by this movie. I didn't plan on going to see this, it was a very spur of the moment thing and walking out of the theatre I was blown away. Happy Death Day isn't the best movie I've seen this year but its the biggest movie-going surprise of the year for me. It features a great turn from an up and coming actress, a good mystery, some well placed meta humour and a willingness to play within its central conceit. The marketing for this movie doesn't show how creative and fun it is and I would urge you to give this a shot. We've come off the summer blockbusters and we're still too early for the awards contenders so if you're looking for something to check out, Happy Death Day is an extremely fun hour and a half at the movies. Also, make sure to show up on time, there's a gag pulled with the opening credits that hints at what's to come.","
            9/10
            "
"12","olivermahlmann","4 January 2018","As a fan of Groundhog Day, Final Destination and Edge of Tomorrow, I was surprised how much I liked it. It was just well done and it worked on all levels.
I watch a lot of movies and hate most of them, but this one worked for me.","
            9/10
            "
"13","Padreviews","23 October 2017","I had low expectations and I have to say they were totally exceeded . This is an enjoyable Romantic Horror with more than a passing reference to GROUNDHOG DAY - and the occasional reminiscing of the 15 year old Shaun of the dead . Plus a bit of Scream , scary movie and a number of other slasher movies . Jessica Roshe was brilliant in the starring role , you believe in her character , her charm was endearing and despite the 10 years between her character and actual age she played the combination of innocent romantic with a touch a modern feisty independent female in control of her own destiny . The only poor point was how the inevitable twist was handled - that could have been slightly better but definitely worth seeing . Pad.A 7/10","
            7/10
            "
"14","cardsrock","11 March 2020","Happy Death Day is fully aware of the kind of movie it is and has no qualms about poking fun at itself. It's this type of self-awareness and humor that makes the film enjoyable to watch. The film is somewhat original in putting a slasher spin on the great premise of Groundhog Day (although it is awfully similar to a classic episode of Supernatural...) and features an entertaining lead performance by Jessica Rothe.","
            7/10
            "
"15","SnoopyStyle","24 March 2018","Self-obsessed sorority girl Tree Gelbman (Jessica Rothe) wakes up in a strange dorm room. She had spent the drunken night with Carter. She does the walk of shame home. Her roommate Lori gives her a birthday cupcake. She's having an affair with the married Dr. Gregory Butler. As night falls, she is killed by a masked perpetrator. She wakes up once again in the dorm room and it's a deadly Groundhog Day.It's a terrific little high-concept horror. Jessica Rothe is great. Everything is great until the second to last repeat day. Once she discovers the serial killer, the next day should be nothing but gearing up to take down the killer. Instead, she goes around fixing everything which is unnecessary. She should go buy a gun or at least pepper spray. I kept waiting for her to go to the hospital during that one bad day. It does have a nice twist and the movie isn't torpedoed by that one day. This movie is a fun little surprise.","
            7/10
            "
"16","cherold","3 October 2019","Terrifically fun comedy combines slasher movies with Groundhog's Day and a bit of a whodunit. The movie centers on a young, rather obnoxious sorority girl, caught in a time loop and hunted by a masked, knife-wielding killer, who searches for her killer while, in Groundhog tradition, becomes a better person.I'm not a fan of slasher films because I don't like gore, but this movie has no gore, which made me happy. It's not especially scary, but it does have a little suspense here and there. Mainly it's funny, ingenious, and likable.Overall the movie does a decent job of making sense, although twice near the end actions that certainly would have resulted in some trouble don't. Overall it's quite clever and well worth watching.","
            8/10
            "
"17","kluseba","24 November 2017","Happy Death Day tells the story of the condescending, dismissive and self-centred student Theresa who gets killed by a masked assailant on her birthday. However, she doesn't die and wakes up in the morning of the same day. Theresa quickly realizes that she must uncover her assailant's identity to survive her birthday and therefore break the curse of experiencing her own death over and over again. Along with a male acquaintance she spent the night with, she starts investigating her potential enemies, their motives and alibis. While doing so, Theresa realizes how her own flaws have let to this tragic situation and she attempts to become a better person.Happy Death Day is one of best horror movies in recent memory. Instead of focusing on gore and special effects, the film works with a desperate, gloomy and mysterious atmosphere and a few efficient jump scares. However, the film has much more going for it. It focuses on a stunning character development as a superficial, rude and egocentric teenage girl slowly becomes a profound, joyful and empathetic young woman. This film can be considered a coming-of-age drama and it's one of the best of its kind. As if those elements weren't enough, Happy Death Day also tells us an interesting love story that becomes more and more profound as the film progresses. It also deals with family and friendship issues in a dramatic way. To lighten things up, the movie also includes humorous parts which mostly consist of absurd situation comedy and a few quirky dialogues. However, this movie succeeds where films and franchises like Evil Dead and Scream have failed before: the humorous elements never take away from the sinister moments as Happy Death Day feels perfectly balanced. The movie is genuinely entertaining from start to finish and once it's over, you simply feel like watching this roller coaster ride again and embrace this movie's unique atmosphere. Some critics and viewers have slammed the movie for having a plot that borrows heavily from the concept of Groundhog Day. This is true but Happy Death Day is executed with so much energy and originality that it simply doesn't matter. Even if you are familiar with the concept, this film will still keep you guessing from start to finish. You probably won't see this movie's outcome coming either.In the end, Happy Death Day is among the very best movies of the year and massively exceeded my expectations. If you like clever horror and coming-of-age movies, you can't get around this film. Happy Death Day is best enjoyed around Halloween with your friends.","
            10/10
            "
"18","savagdog1","13 October 2017","When I saw the trailer for this movie I admit I rolled my eyes and groaned that they were trotting out the circular time gimmick again. It was of course classic in Groundhog Day, but never seemed to click since then. I was dubious, but after seeing it with my own eyes, I can say I had a great time. I'm not sure if Blum House intended it to be funny, but it had a lot of humor in it, enough I would say to qualify it as a dark comedy. The cast was superb and while it didn't offer anything groundbreaking in terms of murders/deaths, I didn't mind because the story was so well connected and it really had me guessing right up until the end. Another litmus test for the quality of this movie is that the audience was rather quiet during the presentation. I've been to enough of these films to know that when you get a young audience seated in the dark and the film is a snooze, they'll start to talk and whisper and just annoy the Hell out of you. This movie managed to hold the attention of the entire audience and in this day and age I must say, that is an achievement in and of itself. I wasn't prepared to enjoy Happy Death Day as much as I did, but even I can admit when I was wrong. It worked from start to finish. I wasn't aware that Scott Lobdell wrote the script, but when I saw his name in the credits, I realized another reason I enjoyed it. I am familiar with his writing in the comic book industry and he is one of the more notable scribes. It's good to see the skills transfer.","
            8/10
            "
"19","michaeldeveer","6 June 2018","Don't watch it if you are in for a gory slasher, but if you like a bit of suspense with (teenage) humor, you're in the right place. Watched this movie with a smile on my face, but I was still interested int he mysterious side of the movie.","
            8/10
            "
"20","zkonedog","19 June 2018","There are some movies that try to create a sense of realism within them. There are other movies that lean into character/situational cliches to play for comedy or hijinks. Simply put, ""Happy Death Day"" squarely falls into the latter category. As such, your enjoyment of this film will likely come down to how much you can suspend disbelief at the over-the-top characters to dig into a plot that can actually be intriguing.For a basic plot summary, ""Happy Death Day"" focuses on the story of Tree (Jessica Rothe), a college student who wakes up one morning (her birthday, of all days) in the dorm room of Carter (Israel Broussard) after an apparent hook-up. Tree then goes about her ""normal"" routine, only to be stalked that night (on the way to a party) by a mysterious masked figure. When this figure stabs her and death looks certain...she once again wakes up in Carter's room. It is again her birthday, the date is the same, and the day repeats itself almost exactly the same. As such, the rest of the film entails Tree's struggle first to figure out what the heck is happening, and then finding ways to remedy it.In terms of plot, there are indeed some interesting things happening in ""Happy Death Day"". It is very reminiscent of ""Groundhog Day"" (even outright admitting that fact at one point!) and has a number of fake-outs that shake things up and keep it from being too predictable.Unfortunately (at least for viewers like myself), that plot intrigue is really just a front for a film made for teens heading to the multiplex on a Friday or Saturday night. As I mentioned in the opener, most of the characters are so over-the-top as to be cringe-worthy (at least for more ""seasoned"" film fans), an approach that will not phase younger viewers nearly as much. I watched the movie with a sibling 13 years my junior, and she loved it!I know that ""Happy Death Day"" was probably never meant to be anything more than it is, so that's why I won't drop it down under a middling 5/10 stars. At the same time, the trailers for the film are a bit misleading, as they connote a film that looks like a serious thriller with a time-loop component. You just have to know going in that this isn't exactly the case, as ""serious"" is far from the adjective I would use to ever describe the film.","
            5/10
            "
"21","sauravjoshi85","31 July 2022","Happy Death Day is a black comedy mystery thriller film directed by Christopher Landon. The film stars Jessica Rothe and Israel Broussard.College student Theresa Gelbman continues to relive the day when she was killed to discover the identity of her murderer.The film is way way better then what i had expected and the director deserves all the applause to keep the mystery intact till the end of the film and keep the viewers intact with some great twists and turns in between.The plot of the film is good and the execution is superb, the film has comedy, drama, elements of horror and mystery. The screenplay of the film is gripping and will keep you engaged with guessing whodunit. The film gets little slow in middle but picks up the pace once the film approaches its climax.The acting is good and both the leads were impressive with Jessica Rothe having the edge on the two in terms of acting performance. The climax of the film is stunningly good and if you are a mystery film lover then the climax will satisfy you to the core.If you are willing to watch something unique and unexpectedly good then this is the film for you. A must watch.","
            8/10
            "
"22","matthewssilverhammer","20 October 2017","Happy Death Day comes from Blumhouse Productions, the studio made famous for the resurgence of horror in theaters (Get Out, The Purge, Insidious). However, this is the lightest of light thrills. Sure, it would fit in the slasher movie bin, but with its bubble gum aesthetics and goofy comedy, it's really more Freaky Friday than Friday the 13th. And in that sense, it's mildly charmingif not bright enough to be great. For starters, the premise is pretty stupid, and the execution of that premise isn't much better. A brash and awful sorority girl is forced to relive the same birthday over and over, each one ending in her own murder by a masked killer. Imagine Groundhog Day or Edge of Tomorrow, but in the teen-screams genre and with a lot less complexity. In fact, most of its ""originality"" just comes in its blanket theft from other properties and throwing them all together: the youth world of Mean Girls; the comedy of ""Scream Queens""; the protagonist from ""The Good Place""; the scares from The Purge. It's not bad, just familiar, like we're reliving this recognizable movie just as the character relives her day. Once our girl starts trying to solve the whodunit-mystery, things get more assured and fun, as we find it easier to root for her and her insistence on not dying each day ad infinitum. Even though the deaths and scares are wanting, the other elements work, especially the humor and (gasp!) the heart. It's harmless and forgettable October fare, made more for people who hate horror than me. In other words, my wife will love it.","
            7/10
            "
"23","rockman182","16 October 2017","The trailer for this film accompanied by 50 Cent's ""In Da Club"" looked  incredibly dumb, but that didn't mean that the film wasn't going to be  a stupid good time. These types of repetition of a certain day films  are somewhat popular with recent incarnations being completely  forgettable. Groundhog Day gets it right, and I was curious to see a  college slasher drama try to take a different spin on the idea.  The film is about Tree Gelbman, a typical short fused sorority girl who  loves to party and get drunk and her trials against a day that keeps  repeating. On her birthday she is murdered and the day keeps resetting  until she can figure out who her killer is. The daily death takes a  toll on her body and she gets physically weaker each time. its a tough  task having to try to figure things out when everything around her  resets and the killer and his/her motivations remain unknown.  Jessica Rothe was just perfect for this role. She's an attractive lead  who played the college girl role to a tee. Her character grows by the  end of the film and you start to feel a better connection with her as  she becomes a different human being when her constant death teaches her  about her own life. Other than that, there aren't really many fleshed  out or identifiable characters, which is fine. This is a cheap thriller  and should be treated a such, doesn't mean it isn't entertaining.  The repetition surprisingly doesn't overstay its welcome and keeps  itself fun. This film is barely a horror because its so stupid and the  film knows it. Its more of a comedy with killing than anything else.  Which is perfectly fine. The killer reveal is kind of obvious despite  the writers trying to twist you away from it. Overall, you won't have  much of an impression from this picture but it makes for a good time in  the cinema.  6.5/10","
            7/10
            "
"24","Zac_La_Porte","24 July 2022","This is the excessively fun horror-comedy version of Groundhog Day with a slasher twist. The popular concept where there's the spotlight on the main character who keeps on reliving the same day over and over again has been borrowed and reused so many times, one example being Edge of Tomorrow in 2014. Although that movie received positive criticism, a lot of films that take this concept will fail miserably, but Happy Death Day is not one of them.This killer-mystery horror-comedy features a worthy performance from Jessica Rothe, who the film introduces as a real jerk of a college girl. But if you wait for it, her snotty attitude improves and you begin to root for her as she's continuously being killed and must relive the day until she figures out her killer's identity. This makes for a very interesting idea, and alike Groundhog Day, although a lot of the same actions and lines are repeated throughout the movie, it just never gets boring and it's always fascinating to see the lead discovering that for themselves.Happy Death Day is also probably the best horror-comedy for teens seeking thrills and laughs, with there being an appropriate impact level of horror violence, an admirable amount of jokes and an unexpected plot twist many horror-mysteries are capable of but don't do. And despite this movie having a really light-hearted horror and a reasonably silly tone, it's as the lead's attitude and outlook starts to become nicer that there's a touching message that will possibly leave a lot of viewers thinking about how they can be a better person. It's another example of everything in this movie being a surprise.If you liked this review, check out the full review and other reviews at aussieboyreviews.","
            7/10
            "
"25","jtindahouse","16 October 2017","I'm starting to see a trend develop in modern horror movies (the good ones at least) and I really like it. Film makers are beginning to realise that for horror to work there has to be some different levels to the film. 90 minutes of watching people get killed isn't going to be able to cut it anymore. You have to be able to make the audience laugh, think and even move them emotionally. If you can do that then your film will be a success. Earlier this year 'Get Out' pulled it off and now 'Happy Death Day' has nailed it too.When the opening logos featured a joke (literally in the first few seconds of the film) I thought I may have misread the tone of the film in the trailers. Turns out I had, but in a good way. It wasn't an indication that the film was to be a laugh-fest, simply that it had that layer to it. And the thing about the layers that the film possesses it that every one of them works. Whatever it tries to pull off it manages.The twists and turns and how crafty it is about concealing them truly blew me away. At least three times I thought to myself such and such element would be better if they'd done so and so, only to later find out they did indeed have that up their sleeve the whole time. The film is incredibly smart.I can't say enough good things about this film. The trailers won't give a fair indication to people of what this film is truly capable of, and so sadly I fear many who would love it will not get around to seeing it. If you get the chance though please do see it. It's a fantastic film and you won't be disappointed.","
            10/10
            "
