"","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"11","shawneofthedead","19 March 2014","When beloved books make their way to the silver screen, the resulting movies are usually met with much frustration and rending of clothes from amongst the literary faithful. A character is changed beyond recognition; a crucial plot-point excised; an important theme lost in the murk and swell of a film. Oddly, Divergent isn't actually a bad adaptation. In fact, Neil Burger's film is as good a version of Veronica Roth's wildly patchy source novel as you're likely to get. Whether that makes for a good movie - especially for people who've never read the book - is another matter entirely.Divergent begins in a post-apocalyptic Chicago divided into five factions, each valuing one virtue - Dauntless (courage), Erudite (wisdom), Candour (honesty), Amity (kindness), and Abnegation (self-sacrifice) - above all others. It's an odd system, perhaps, but one that is apparently necessary to keep chaos at bay. Tris Prior (Shailene Woodley) has been raised in Abnegation but, try as she might, she cannot completely subsume her self or her desires. Indeed, the aptitude test that everyone must take at the age of sixteen suggests that Tris doesn't belong in just one category: she is Divergent, equally at home in three factions.Come the day of the Choosing Ceremony, she decides to forsake her family to become Dauntless: a decision that plunges her into a nightmare initiation process in which the weakest are summarily kicked out of the faction. As Tris navigates the politics and perils of her chosen world, trying all the while to hide the fact that she's Divergent, she encounters her fair share of allies - Christina (Zoe Kravitz), Will (Ben Lloyd-Hughes) and possibly her charmingly broody instructor Four (Theo James) - and enemies, including the brutal Eric (Jai Courtney) and vicious Peter (Miles Teller).Anyone unfamiliar with Roth's book might find themselves trying to puzzle through this seemingly shapeless mess of a plot. It ebbs and flows in odd directions, dancing around Tris' desire to be true to herself, before it gets a little lost in the dystopian clutches of Jeanine Matthews (a gleefully icy, evil Kate Winslet), an Erudite leader hellbent on bringing down the entire Abnegation faction. Along the way, Tris literally battles her fears under the influence of a simulation serum, toughens up physically, strikes up a sexy chemistry with Four and frets over her brother Caleb (Ansel Elgort). Within the confines of this universe, it makes an odd kind of narrative sense, but the logic of it all never really bleeds through.Here's the thing, though: this strange, frequently illogical plotting is very much a defining characteristic of Roth's novel - and, in fact, becomes more of a problem as the trilogy progresses. (Anyone who's read Allegiant, the controversial final novel in the series, will know just how difficult it will be to adapt.) The emotional and logical flaws present in Divergent the film, then, are - for the most part - already inherent in the book. Why does Jeanine, supposedly one of the smartest people in the community, plot and plan the way she does? How does the entire society function in this utterly dysfunctional way? Technically, Burger can't really be faulted for failing to develop a coherence and logic that was never there in the first place.In fact, Burger actually substantially improves upon the novel in several ways - he keeps the film mostly free of Tris' inner voice, which becomes increasingly moony and silly as her crush on Four grows by the day. Burger plays up a zip-line sequence that highlights the joyful recklessness of the Dauntless, as Tris soars freely through the midnight air. He also handles the problem of Tris' fear landscape very well: instead of simply willing herself out of the influence of the serum (as the Divergent can do), she must figure out how to face each of her fears in a non-Divergent way. These scenes are shot with quick, simple visual flair, dispensing with some of the novel's trickier convolutions.Of course, Divergent isn't a perfect adaptation either. To Roth's credit, there are some truly dark, painful moments in the novel which transcend its loopy narrative. It's no surprise, and yet it's a little disappointing, that these bits simply vanish from the film, no doubt in the interests of securing a PG-13 rating. As a result, Peter is a far less repulsive antagonist than he is on paper. For instance, he doesn't brutally (and casually) maul a fellow initiate who's doing better than him in the rankings - an incident that's crucial in the development of his character in the subsequent novels.The young cast works hard and quite well together. Woodley makes for an intriguing screen presence, effectively playing both the steel and softness of Tris' choices. James, heretofore best known for dying in Lady Mary's bed in Downton Abbey, acquits himself reasonably well - he's not as leaden as some of the trailers have suggested, and he forges a believable chemistry with Woodley. Of the supporting players, Teller is the standout, so good in his easy malevolence that he actually makes the thought of Allegiant as a movie quite appealing.In the final analysis, Divergent is likely to divide audiences. Fans of Roth's books should be, on the whole, pleased. This is a frequently very good, intelligent adaptation of a rather problematic novel. Everyone else, however, might be less enamoured of the final product: a film that, just like the book on which it is based, boasts a compelling story and some great ideas, but is also messily executed, overly complicated and a tad nonsensical.","
            6/10
            "
"12","MovieSonic","29 July 2014","I'm glad I got around to watching this, I'm not sure who's writing the negative reviews or what they were expecting but I can honestly say that this is the best tween film I've seen in a long time.It IS a tween film, it's blatantly aimed at young girls and as a ""twenty-something"" youngish female, I'm not embarrassed to say that I really enjoyed this film. It's pure fantasy fodder of course but here's what I liked about it:the relationship between the two leads develops naturally i.e. they don't see each other and go 'you're my soulmate', in fact they don't really get on at first so this is believable and refreshingthe lead actress (Shailene Woodley) playing Tris is extremely natural and one of a very few actors I've ever seen who has convinced me that they are grieving (usually grief in films is just 'oh, they're dead, I'm so upset' ... swiftly moves on with their day..) - Actually both of the leads (Theo James as well) play their roles really wellI loved the point of view shots like when Tris looks at Four during the training and you see it from his perspective and then the camera cuts to his face to get his reaction to the look she gives him (there are other similar scenes) and it just adds to the effect of feeling like these are real people and I empathised with them more as a result Yeah the background story for the city is quite thin but who cares, stranger things have happened in the real world and what I like is that we're given a sense of 'this is what they've been told but is that what's really happened?'. I'm not sure if that's in the book or if the film makers wanted to add some realism for us grown-ups but when they question what's out there, I got the feeling this might be similar to The Island (2005) - that's not a spoiler it's just my opinion and probably totally off baseI have now watched this film about 4 or 5 times because I really liked so much of it: the fighting was believable for me because I think we've all gotten used to flashy choreography and sound effects but that's not what real fights look like or how they sound so for me, these fight scenes are really good. I liked the weapons because they kept it simple and for training, they're a good idea.Probably the thing I liked the most is the fact that ""it's not all about Tris"". I mean, it IS all about Tris but it's not 'totally in your face, the world revolves around Tris and no-one else matters' all about Tris... What I mean is that there are some ""films"" out there which spend their entire running time having the supporting actors running around warning the lead actress not to have sex with her boyfriend lest he destroy her vagina but in this film, the lead actress often shares centre stage with her new best friend, there are a lot of scenes where she is in the background looking out as opposed to a lot of shots of her standing alone / in the centre and we see her friend fighting too; the focus is just not 'always' on her. Having said that, I do think that there could have been even 'more' focus on the people around her. First of all, had we gotten to know her friends better, we might have empathised with them more (trying not to include spoilers!) and also, this will sound harsh but it needs saying, I'm sick of seeing 'ethnic' people in minor or reduced roles: what a waste of Mekhi Phifer! I wish that Zoë Kravitz had been given more to do, yes she had a decent amount of screen time but I would have liked to maybe see her 'fearscape' and... that's about it for ethnic characters I think... yep.I liked that Jai Courtney's character didn't go overboard as the villain but again, his character was a little one dimensional and I would have liked to have seen some more interaction and dialogue between him and Four just to flesh out their background story.Kate Winslet honestly did the best she could with her part and it's a massive credit to her that she managed to make me severely dislike her and believe that she was evil with just a few odd lines here and there. Her role is to literally just pop into the film every now and then to be a bit menacing and give off a female-Hitler vibe (bright blonde hair). But she pulls it off in my opinion. There's no point in elaborating on why someone is pure evil, we know this exists, it's happened in the real world and it's still happening so her role didn't distract from the believability of the story.Overall, I liked the subtlety of the story. There is no sex, no profanity, no overt 'I love yous' yet it didn't come across as 'after-school-specially' at all. Also, I never groaned out loud once or cringed or had to hide my face behind a pillow while someone professed their undying love for someone they just met a week ago. The dialogue was realistic with occasional over-rehearsed acting from some of the supporting cast but I really loved this film. Go into it knowing it's a tween film and that there won't be a lot of intelligent scientific explanations for things and you'll probably enjoy it as much as I did.9/10","
            9/10
            "
"13","moviexclusive","19 March 2014","Every studio hopes for a hit YA franchise, and in particular for Lionsgate-owned Summit Entertainment, the imperative is even stronger seeing as how they had unearthed that lucrative segment with the 'Twilight' series. And so 'Divergent' comes with high hopes that not only will it become hit YA property, it could potentially enjoy the same astronomical success as 'The Hunger Games', especially since both are of the sci-fi genre set in a post-apocalyptic world with fresh young faces.Adapted from Veronica Roth's book, it imagines a dystopia where society is organised into five distinct factions based on personality types, each understanding and playing its role in order to keep the peace. These are Abnegation, Amity, Candor, Dauntless and Erudite, the names rather self-explanatory in describing what they represent. Youths are tested at the age of 16, given two likeliest factions from the results of a hallucinatory test, and then at a Choosing Day ceremony made to pick one of the two in which they choose to belong.As narrated by our lead character Beatrice Prior (The Descendants' Shailene Woodley), there are those fit into more than two categories which are labelled 'divergents' and cast out to live as homeless vagabonds on the pretense that they do not belong. Needless to say, Beatrice is a titular 'divergent', and warned by her testor (Maggie Q) that she must keep this information secret lest she be the subject of a witchhunt led by the leader of the snobbish Erudite faction Jeanine Matthews (Kate Winslet). So at her ceremony, unlike all the others, she exercises her free will to join the Dauntless, who train to be soldiers keeping the peace.Even with the task of laying franchise groundwork, it is both surprising and disappointing how much time the movie spends inside the subterranean Pit where Tris and the rest of her initiates train under the tough yet tender Instructor Four (Theo James) and the harsh and controlling leader Eric (Jai Courtney). From sparring to knife throwing to shooting, screen writers Evan Daugherty and Vanessa Taylor spend about an hour laying out Tris' Dauntless boot-camp training and the dynamics between the trainees, in particular with two Candors - one a snide competitor played by Miles Teller and the other a loyal friend played by Zoe Kravitz.There is of course the budding romance between Tris and Instructor Four, the latter of which turns out to be a 'divergent' himself and who ends up teaching her how to overcome the final 'fear test' of her training. At no point however does director Neil Burger inject a sense of urgency into the proceedings, which unfold relatively unhurried and without consequence until the final half-hour. It is at best a drag, at worst a bore, and while parallels have been drawn between Tris' training and Katniss Everdeen's in 'The Hunger Games', you'll find the former here oddly devoid of danger or purpose.Only in the last segment is there some measure of thrill as a power struggle between the Erudites and the Abnegations build up into real conflict unfolding on the streets of an already war-ravaged Chicago. Burger assumes that his audience's patience will eventually pay off in a rushed final act that throws everything it can into the mix - including some heavy urban warfare, exposition, shifts in character - but it is a peculiar case of 'too much too late' that ends up making you frustrated more than anything else. There is little poignancy even with two key supporting characters meeting their demises within the short span of ten minutes, and that is also a result of the film's flawed construct, which diminishes the familial bonds illustrated in the novel between Tris and her parents (Tony Goldwyn and Ashley Judd) and twin brother (Ansel Elgort).With little chance to flex her acting muscles, Woodley is hardly any match for Jennifer Lawrence, and indeed doesn't quite grasp her character well enough to put forth a consistent and compelling portrait of Beatrice. At least she does share some screen chemistry with Underworld: Awakening's Theo James, the bond that builds slowly between them rather winning to say the least. Other thespians like Winslet and Judd give solid supporting turns, though they are yet again hemmed in by a ham-fisted script that hews too closely to the book's straightforward prose.On his part, Burger tries his best to build a convincing vision of a futuristic Chicago, but fails to convey the extent of a hyper- militarized and technologically advanced society on the verge of factional conflict. The postwar cityscape hardly leaves much of an impression, though the drug-induced mind trips that Beatrice takes boasts some degree of visual ingenuity that recalls Burger's far superior work in 'The Illusionist' and 'Limitless'. Worthy of special mention though is the score by Junkie XL (with Hans Zimmer listed as executive music producer), which hits the right notes more than you would expect in certain scenes.Still, it's hard to imagine 'Divergent' being the kickstarter the way the first 'Hunger Games' movie was; though both share similar narrative blueprints, this adaptation feels inert where the latter is lively, failing to engage its audience with its female teenage protagonist's rite of passage. Unless you're a fan of the books, you'll probably be lukewarm about the next instalment 'Insurgent' whose production is already underway; indeed, true to its title, there is something off about 'Divergent' that never quite reconciles even till the end of the movie.","
            5/10
            "
"14","davispittman","21 April 2016","Divergent is an entertaining movie to sit and enjoy, that's for damn sure, it was actually better than what my expectations preceded. Shailene Woodley shines in her staring role as Beatrice, and Theo James is so perfect for his co staring role as Four. My absolute favorite actor here though is hands down Kate Winslet, she is so focused, determined, and unapologetically devoted to her maniacal plot, and it's obvious that she gave it her all the entire way through. The costume design is wonderfully constructed, especially for the Elite characters like Winslet. And the set direction is awesome to look at, very well put together. The action sequences are pretty standard PG-13 action movie material, not meaning that in a bad way, just saying you know what you're getting when it comes to that specific issue. The plot is very intriguing and it will for sure keep you interested and wanting more. Ashley Judd is great to see on screen here as well, a very noble addition to the well rounded cast, she is caring, adventurous and warm hearted in her motherly role to Beatrice. I really loved the dialogue back and forth between the characters too, very intelligent and witty. I cannot wait to sit and watch Insurgent, and then Allegiant, crossing my fingers in hopes they will prove themselves worthy, like this first installment did. An 8/10 for Divergent!","
            8/10
            "
"15","trans_mauro","22 July 2014","...made into a pretty stupid film!Where authors(sic) get these unbelievably lame ideas? A world divided into 5 factions? This is ridiculous. This is another politically correct tripe. The plot is based on countless Hollywoodian stereotypes. Actors all look like they came out of catwalk fashion show. They have as much substance and personality as bobble head dolls. The film is tedious, move at a snail's pace and do not even fall into the category ""so bad it is good""It is embarrassing to know that there are those who classify this sophomoric attempt at literature as a dystopian science fiction novel.Pure waste of time, money.","
            1/10
            "
"16","Tweekums","10 July 2019","This, the first film of three, is set in a world one hundred years after a cataclysmic war. Chicago is effectively a city state and as far as anybody knows there is no civilisation beyond the city. Society is divided into five factions to which people join based on their character type. These are Abnegation, the selfless who are also the governors; Amity, the kind who farm; Erudite, the intelligent; Dauntless, the brave who form the police/army; and Candor, the honest who serve justice. At sixteen people are tested to see which faction best suits them before making the choice as to which they join. Beatrice ""Tris"" Prior, the daughter of Abnegation parents, is one such youngster but her tests are inconclusive... she is 'Divergent'; one with strengths in multiple areas. She is cautioned that she must hide this as Divergents are considered dangerous. The next day she joins Dauntless and begins her training; if she does badly she risks failure and being declared factionless but if she does too well she could be identified as Divergent and killed... if that weren't enough she learns that the leadership of Erudite is planning to overthrow Abnegation.From the moment the world is described it is clear that the viewer will need to be able to suspend their disbelief... the idea that almost everybody will fit into one of the five described factions and Divergents will be rare seems unlikely. However if you can accept that the film is rather fun. The story may not provide many surprises but there are plenty of exciting moments as Tris and her fellow Dauntless recruits undergo initiations and training. There is also frequently a sense of real danger. Tris; as played by Shailene Woodley, who impressed in the role, is a fine protagonist and other key characters are solid too. The film has high production values with a realistic look and impressive effects. Some have compared this to films like 'The Hunger Games' but while there are some similarities I didn't really think about them at the time. Overall I thought this was as solid addition to the young adult dystopia genre... you certainly don't have to be a teenage girl to enjoy it. I'll certainly be watching the other films in the series.","
            8/10
            "
"17","aker995","7 April 2014","As I said, the movie was extremely predictable. I knew what was going to happen before it did and I honestly felt like I was watching it for the 3rd time! There were no twists, no suspense, no surprises. I could not believe that there would be so many clichés and unrealistic scenes. Instead of an ""action/adventure film"" I saw a boring love story. I can't imagine how unbearable it must have been for those who read the book..*SPOILER* The following scenes are examples of why the plot was so obvious and boring: We knew that Tris would not go into the same faction as her family, we knew which one she'd choose, we knew that she'd fall in love with Four, we knew that she wouldn't get kicked out of training, we knew that Four would find out that she was a Divergent but wouldn't tell anybody etc... Moreover, the scene where Tris and Four fight is so unrealistic and again, the fact that he started fighting on her side was way too PREDICTABLE. *END OF SPOILER*To me, Divergent looked like a bad version of the Hunger Games and I am really surprised that so many people liked it. Unless you are a teenage girl who finds Theo James hot and unless you have never read any books or watched any other movies in your life, I see no reason why you would want to waste 2 and a half hours of your life watching Divergent.","
            2/10
            "
"18","brookenichole-98054","25 March 2020","This movie is fantastic! It's so good that you don't even feel the two hours go by. The story is compelling and flows naturally. The whole faction idea is really interesting to see. The journey Tris goes through feels natural and not forced. Shailene Woodley and Theo James are equally great as Tris and Four. I thought Zoe Kravitz did a fantastic job as well. The romance is one of the best I have seen in teen movies. The action is suspenseful as the movie goes on you end up wanting more.
This movie ages well and never feels bland.","
            9/10
            "
"19","fast-giga","23 July 2014","Of course this movie is made for a very young female audience so I have problems to identify myself with the targeted audience. The good point about the movie is, that the heroine is not complelty depending on her male counterpart, so its none of the ""girls-are-mentaly-and-physically-too-weak-to-exist-without-man"" movies, but thats about it. If you want to watch something about strong female characters try the legend of Korra. The rest of this movie is terrible, especially the huge amount of brain bleeding inducing logic errors.SPOILERS!!!!!!!!! For Soldiers knife throwing, jumping from trains and excessive hand-to-hand combat are the most important skills. As well as being complelty fearless...people throw knifes at you and you aren't allowed to be afraid? Yes, thats the stuff marines are made of. Being a soldier has nothing to do with endurence, guns, tactics and unimportant stuff like that real life soldiers train.Being ""divergent"" not fitting into a faction is something rare...at least thats what the characters say...funny how the rarest thing turns out to be a majority.The training officer sits at the same table as the rookies, but the rookies aren't allowed to talk to him? Yeah, makes sense.A rookies says something stupid to a teacher...and they put in into the world wide newspaper...yeah, nothing else interesting happening.Oh, I nearly forgot, the actual most important thing for a solider is house climbing. Know a soldier who hasn't climbed the empire state building? He's a noob.These are just some of the terrible brain bleeding inducing logic errors in this movie. If you are a 8 year old girl you might be able to accept them, but for everybody else this movie isn't watchable.","
            1/10
            "
"20","september_90","29 October 2014","My review is not based on reading the book but solely on the movie alone. I found the movie very similar to The Hunger Games in the sense that it divides people into groups and focuses on the teenagers. But this movie was 100x better! It had me on the edge of my seat for most of the movie. This movie is inspiring and motivational. It is the type of movie that shows that accepting people for the flaws and their strengths is important and that everyone is different in their own way and that it's okay to be who you are. I think more kids need to see these types of movies and I would recommend it to anyone. P.S. Do not watch this movie before or after The Fault In Our Stars cause it may make things a bit weird haha.","
            10/10
            "
"21","goods116","24 March 2014","For some reason the rating is 7.7 with 1000s of data points, but the written reviews trash the movie -- ignore them, the numerical score is accurate. I read the books and saw the movie and thought both were very good -- not incredible, but good, deserving of 8 out of 10. One the key complaints is the same one you always hear when a movie is adapted to a book: how could they have not included scene/event/character x,y or z from the book? So and so does this in the book, but in the movie they do y. And so on. Give me a break. Does this really need to be repeated? You can't really convert a book perfectly into a 2 hour movie. You just can't. Characters get cut, shortcuts are made to the plot. Live with it or don't see the movie. Getting to the movie itself now. Yes, there are flaws and some logical missteps. But overall, the world that is created is visually appealing and interesting, the character (especially Woodley) do a good job, and the last portion, while a bit rushed perhaps, is engaging. I would say that the source material itself is not 10 out of 10 material, and the movie conforms to my rating -- very good, but not a 9 or a 10. If you can get over the book/movie thing, you will enjoy this movie.","
            8/10
            "
"22","Stiobhan","28 April 2014","Although lacking any real sustained exciting action parts, this would probably appeal to under 16 year old's.I really have a problem with the voting, as according to it's current evaluation by over 48 thousand viewers it is 7.5 which essentially means that it should be better these movies which were rated less than 7.5: Man of Steel (2013); Captain America: The First Avenger (2011); X-Men; X-Men 2; X-Men 3; X-Men Wolverine; Iron Man 2; Iron Man 3; Oblivion; Superman Returns (2006); Independence Day (1996); Transformers (2007); and Stargate.This movie is just awful; no substance, and worst of all it's set up to allow for the making of a sequel.The only good thing about a sequel is that they won't have to do too much to make the sequel better than this.","
            3/10
            "
"23","david-selin","16 April 2014","Four is the name of an important character in the movie. Apparently, it stands for poor writing, poor directing, poor casting, and poor acting.Let's start with the poor writing. Obviously this movie would be more enjoyable if one had read the book. Well, I hadn't, and therefore I was confused because the back-up story was non-existent. The movie takes place in an dystopian society. However, nobody tells what really happened to the world. Without adding any spoilers, it is hard to specify why the quality of the writing is constantly so poor, but let's just say that the story is so full of holes it looks like an emmental cheese. Poor directing. Good directing could have compensated for the ludicrous writing, but in Divergent they seem to form an unholy alliance. The scenes lack credibility - especially the action ones. Because of this, Divergent is a movie for the children at best. There are three characters that look somewhat the same. It took constant effort to keep on track on who is who. The absurd changing of the scenes didn't help. However, the biggest mistake of the casting crew was hiring Shailene Woodley. Sure, it is cool to see a relatively new face in a big budget movie, but there is a reason why it is so rare - they cannot act. The previous statement takes me to the final part, which rendered this movie close to unwatchable. The actors consist of young and inexperienced actors mostly. Because of the cheesy writing and directing, their acting seems even more horrible than it already is. Again, without including any spoilers, I won't go any deeper, but just watch the so-called ""chemistry"" between Tris and Four... Makes you feel awkward, huh?Finally, I want to clarify that I usually like dystopian films. In this case, I was expecting a rating of 7 or 8, so I'm still quite shocked because the movie fell below my expectations so badly. It just makes me so disappointed that this kind of budget goes to absolute waste because of these flaws I mentioned above. All in all, I wouldn't recommend this movie unless you are a big fan of the books!","
            4/10
            "
"24","YJLcool","23 March 2014","After the tremendous success of Twilight, Harry Potter and Hunger Games series, Hollywood film studios have made several attempts to repeat the success. But, many have failed to capture the hearts of fans and general audience alike. Now, here comes another young adult sci-fi action drama thriller series...The Divergent Trilogy. Will it succeed and remembered as one of the good young adult series? Time will tell.Adapted from Veronica Roth's first book, it is a story about the conflict between individuality and social conformity...the dilemma of being different, not fitting in with the society and the fears that comes with it. It raises the question on why people in general, submit to social conformity (obedience and unwillingness to change), without any resistance. Is it really deeply rooted in our genes? Why individualists are mostly frown upon by society and feared by the authorities?The film offers an interesting world with strong characters, an engaging plot enough to captivate the audience for its long running time (140 minutes). In a post-apocalyptic Chicago, the people are divided into a five-faction social system, enforced by the authorities to maintain peace and order after an unspecified catastrophic war, based on their primary distinct personalities: Abnegation (selfless), Amity (kindness), Candor (honesty), Erudite (intelligence) and Dauntless (courage). The film starts out with the lead female character questions her place in society, but later on, she starts to question the fundamentals of the society itself.Much of the film's running time is dedicated to develop the characters enough for the audience to know them, by showing what they're going through and what they've become by the end of the film. The lead actors, Theo James and Shailene Woodley, delivered a solid performance in their respective roles and have a convincing on-screen chemistry between them. Kate Winslet, despite her short screen time (only about 20 minutes), manage to solidify her presence throughout the film, hinting that we'll be seeing her more in the next two films. Moreover, the ideas and concepts behind the psychology aptitude tests to determine which faction the characters belong or join are commendable as well, as they show the inner fears of the characters and why they possess the personalities mentioned in the film.However, some parts of the film feels rushed, especially the third art of the film, due to its heavy world-building, plot and character development in the first and second act. The fans of the books might complain about the missing parts, but from a person who haven't read the books (me), it seems fine and acceptable to me. I believe the film gets the essence of its source material right, despite the complex nature of its source material.Regardless of what the critics or fans said, the worlds and characters of Divergent and the Hunger Games are very different. Each stands on its own and shouldn't be compared with one another. The film has a good start. By the end of the film, I'm interested to see how things will be unfolded in the next sequel, Insurgent, which is releasing next year and how the story concludes in Allegiant, which will be released a year after Insurgent.Rating: 8/10 ""Individualism promotes personal freedom and achievement. Individualist culture awards social status to personal accomplishments such as important discoveries, innovations or great artistic achievements. Unfortunately, this threatens to those in power, the survival of a population of conformists that specifically adhere to well-defined rules and principles. So, the ones who are capable of thinking differently than others are usually rejected or deemed as outcasts in society. This creates a constant, endless struggle between individuality and conformity throughout the history of mankind.""","
            8/10
            "
"25","HaveWisdomWillTravel","22 March 2014","I won't compare Shailene with JLaw, who I like. Basically, Shailene has presence, her acting authentic, she delivers what this role called for, and that's that. I want to address the audience's favorable response versus the ridiculous professional critic scoring.Of course the film is not perfect, in a way Gravity or Hunger Games are not perfect. But why should it be? Of course it has flaws, like, the typology of the factions - where is the Artist/Creatives? Without imaginative power we will all die of boredom or fascism. Also, Intellectuals/Scientists and Straight-talking Factual sort tend to flock together, too similar to be separate factions. The parent characters under-used, the girl feels a little over-coddled...etc.Still, no big narrative crimes, nothing deserving a hysterical fail rating. Those who never read the book, who have enough open-mindedness, with hope only to be engaged and entertained, will likely enjoy the ride. The premise was interesting enough, the direction and styling effective, the movie's story world construction well-executed, the story-telling and pacing engaging, the acting performance by the two leads and Winslet and Maggie Q well-balanced, believable and non-jarring, the resolution was convincing enough... So what's up with the 40%/ 4 stars hysteria among the pro critics? I have my theories...In general movies get anywhere between 1:1, 1:2, or 2:1 audience love it VS critic love it ratio. This one got 2:1. Which means, the film not only hit the right note with a progressive crowd, it also diverged greatly from an unspoken dogma. 40% pro critic here and elsewhere, wow, obviously Divergent hit a sensitive nerve with the film industry's Erudite equivalent. It seems, Divergent the movie is itself a divergent in its own context, a potentially uncontrollable menace to a rigid, retentive, non-divergent, evidently HOMOGENEOUS English language film critic culture...But in this case, I'd go by the Audience's score. For starters, a 1000000X larger sampling size is always more objective than a few hundred homogeneous Erudites. My rule is, movies with 1:1 audience:critic ratio, the rating is most objective. 1:2, the truth is somewhere in between. But if it's 2:1, the critics are upset about some game-changing ""threats"", and the truth leans strongly toward the audience. Works for me anyway... I call this the AUCRIT Ratio. Feel free to test it yourself. Onto Divergent...I've never read the book. I do keep my expectations on neutral when watching a mainstream big-concept film - especially yet another adapted post-apocalyptic science fiction targeting young adults.Those who expect futuristic science fictions to have primarily male leading characters esp in power positions, invincible biological strength, brute force solution, outcomes determined by technology especially Very Cool Weapons, non-stop magical actions, hot sexy androids and fetish costumes will be disappointed. Those who *demand* award-winning plot and ""logical"" science in futuristic fiction movies are just being hysterical, for they tend not to notice the fantastical magic, bad physics and overkill tech in their ""serious classic"" science fictions - from star trek, star wars, 2010, batman to iron man are equally full of gaping logical holes, mostly with no award-winning plot-craft.Truth is, ""hard"" science is evolving constantly, and science fiction flicks are not made to be 100% accurate or to win awards (if so Blade Runner still wins today), but to explore possibilities in highly-compressed scenarios, to inspire, to enlighten, and foremost, to entertain.In today's myopic, easily self-satisfied world which classifies and judges people by preconceived notions about ethnicity, gender, profession, appearance, merits, we are constantly divided by rigid specialization, subjective education qualification rules, redundant scientific dogmas, simplistic morality yardsticks, always under pressure to choose factions: With-Us-Or-Them, for or anti welfare/ abortion, JLaw-vs-Hathaway, Pepsi or Coke, the in-betweens be damned.Identity by Tribe (and inevitably the side-effect of xenophobia and authoritarianism) is a timely topic, how The Power That Be and their obedient citizenry react to the exceptional, multi-talented, multifaceted generalists who dare to defy categorization.And this is no Twilight. More Hunger Games meet Enders Game. Definitely gender-neutral in appeal, at least among under 30's. Not everything with strong female lead written by female authors equates Hunger Games or Twilight or Harry Porter. Some ancient mindsets need to get used to the brave new world with the other half of the human population, women, being visible half of the time.The lead actors also defy categorization in their own way. Here's yet another hot young male lead who has brain and brawn and talent and emotional depth all rolled into one person...yet another intelligent and talented and cute young female lead who doesn't over-groom herself nor perpetually pout nor seem like she's out to please everyone or martyr herself. Does the world need more unaffected chicks and unassuming hunks? Of course, there's never enough of those on screen.Divergent may not be The Matrix or Inception grade, but why should it be. I was definitely engaged and entertained. Good enough for me.","
            8/10
            "
