"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"muamba_eats_toast","26 September 2019","I didn't expect much from this but it just worked perfectly. A great cast, enough of a storyline to work, great action, perfect amount of comedy and one liners thrown into lighten the mood and even a great ending. Most fun I've had at the cinema in months.","
            10/10
            "
"scottliddle76","24 November 2019","People rating this movie a 1 or 2 are simply just wrong. Your reasons for a low rating like that is just ridiculous. It's a comedy horror and clearly states that and the trailer clearly shows you that. Sooooo why moan about it having comedic moments in the movie? Just plain dumb.This is a comedy horror done right, it's dark humour breaks up the gore and violence up perfectly. The characters are perfect from the creepy over the top aunt to the leading protagonist Samara weaving. Acting is on point and the movie never slows up(dig to the crazy person saying it's boring)The movie actually has an ending, and what a great ending too. The movie delivers on everything they intended to give you and more.Sooo don't listen to the non constructive low critics and make your own decision and go watch","
            8/10
            "
"neil-476","12 November 2020","When Grace marries into the Le Domas family, whose great wealth is from the sales of games, it's not a huge surprise to find out that a family game features on her wedding night. The game is Hide and Seek, and it turns out that the object is not so much to avoid being found, it's more to avoid being found and killed.This simple idea is played for all it's worth between a varied crop of family members and the necessarily resourceful Grace. The cast is low profile but very good, the film is nicely staged, there is a decent story and script, and the combination of bloodshed and laughs works well. This is not laugh-out-loud, but the steady stream of black comedy is constantly amusing.I really liked this.","
            9/10
            "
"kluseba","23 August 2019","Ready or Not tries to be a mixture of a comedy and a horror movie and fails at both. The movie is never atmospheric, intense or scary enough to be a great horror movie. The film is never clever, surprising or vibrant enough to be an entertaining comedy movie. Even by poor b-movie standards, the story of this film is completely ridiculous in a way that it's almost insulting.If you were wondering why this film still deserves four points, the movie isn't entirely bad. The settings look great and especially the mansion where the sinister hide and seek game takes place is really gorgeous, including hidden hallways and elegant gardens. The movie features a few intense action scenes that make you root for the desperate lead character. The film has a fast pace and doesn't overstay its welcome with plodding storytelling. Lead actress Samara Weaving does her best with a poor script and has enough charisma to be the only great actress in this film.Ready or Not should be ignored since it's neither a gripping horror film nor a clever comedy. It's a shallow action film with a few gore elements. Movies like You're Next are similar in style but executed much better. The overtly positive reviews for Ready or Not show that expectations for horror movies have significantly decreased in an era of prequels, remakes, sequels and overall rehashed ideas. Refer to European or Asian cinema to find some creative horror movies these days.","
            4/10
            "
"tmpsvita","7 November 2020","Never seen a movie so dumb and so smart at te same time.
So dumb cause well just read the story it's almost ridiculously stupid but at the same time so smart cause it knows what it is: pure fun entertainment. It never takes itself too seriously, it often jokes about its nature and it plays with it constantly especially with over the top dialogs and grotesque characters that fit perfectly into every, absurd, situation.
Situations where the lead character, the spouse (that Samara Weaving plays with tons of charisma), acts exactly how we all would have done even with smart decisions that rarely in an horror a protagonist takes.
The intelligence of this movie is its awareness of how to work perfectly, with enough weirdness, enough absurdity, enough charisma, enough blood (so much blood) and this makes it a very fun, enjoyable experience.","
            7/10
            "
"samtko-04675","18 December 2019","This film is smarter than most films of it's nature but it's still silly, goofy, gory fun.
Samara weaving is fantastic as per usual (she always seems to steal the show in her films), it's not hard to have fun here and enjoy it for what it is (many people have tried looking more critically at it and miraculously failed).Enjoy the film, it's a hell of a ride. 8/10.","
            8/10
            "
"Fella_shibby","23 November 2019","A bride has to spend her wedding night playing a game of hide n seek with her in laws. Unknown to her, the family has a tradition of sacrificing the new member before dawn to please satan or they might lose their life.
Whether she gets killed or whether the mumbo jumbo truly exists is the highlight which gets bogged down by the lack of suspense or tension.
Rightly stated by BA_Harrison that the secret doors, rooms n servant tunnels r not covered properly.
The film does get a bit monotonous. The side characters get killed while our scream queen gets to survive a hell lottuva ordeal.
The maids r hot babes but they dont have much to do. None of the kills r memorable.
Watch out for aunt Helene with her comical hairstyle n a never give up attitude who is always ready with an axe.","
            7/10
            "
"MissCzarChasm","25 November 2019","You know that when a film garners this much hate and reviews which call it ""Sick, sick, sick"" and ""disgusting"", and go on and on about how all the ""violence is towards women, blah, blah"" ... it has to be something special.And this one is.It is resonatingly (yes, I made that up) witty and really quite funny. In fact, it is almost too funny to be a ""horror"" film, and although it was certainly gory, it had nowhere near the gore of most horror films. It was just right IF you are looking for a film to satisfy the horror-seeking fan in you and which makes you laugh at the same time. In my book, the best of both worlds.As for the reviews which mention violence towards women: get over it. I'm a woman and I detest women like these reviewers who demand to be seen as something more, but then fail to live up to being able to 'take it'. Grow up. You give real women like me a bad name by association.In closing, this is one I highly suggest you watch for yourselves and make up your own mind about, but go in knowing that there is humor in it and hardly any scares. In short, a bloody good time.","
            10/10
            "
"namob-43673","24 November 2019","I had no idea what to expect from this movie, but I am so happy I saw it. This is the third best movie of the year - not kidding.The movie manage to deliver all the blood, guts, and gory darkness you can possibly wish for together with plenty of laughs. This is horror, comedy and great acting in a movie which surprises and have one of the greatest ending of any movie I have seen in a long time.I do think that the movie feels too short, it should have been dragged out a little bit more - especially for us to get to know everyone a bit more so we feel more when they go poff or get their heads chopped off or shot or strangled or...
I also think a few things do not make total sense, however it is a horror drama comedy so I suppose that is not completely needed.
And sure, yes, it has a bit of that B-movie feel to it, the production value is not bad but it is not great either.
A few choices I wish was made different, but overall those are the negatives as I see them.I give it a 8/10, and I highly recommend.","
            8/10
            "
"GT-Lar","1 October 2019","Wow what a silly story i was shaking my head in disbelief all the way thru .... but gotta say it is an enjoyable romp and i loved the ending but i can see people really hating the whole film , just turn your brain off and enjoy the sillyness .....!!!!!","
            6/10
            "
"MamadNobari97","23 December 2019","Haven't enjoy a gory movie like this since The Cabin in the Woods. The last scene was the cherry on the top because I was waiting for THAT scene the whole movie.","
            7/10
            "
"paulclaassen","1 January 2020","Every once in a while a horror film comes along that blows me away. 'Ready or Not' is such a film. It's been a while since I've seen a horror film as satisfying (and as much fun) as this one.From the trailer, I expected a slapstick comedy horror, but this was not the case - thankfully. Although the film contains humor (that are actually funny and not slapstick), this was a nerve wrecking, suspenseful film that crawled in under my skin.Samara Weaving is FANTASTIC as Grace, the unsuspecting bride. The film might not have worked so well with another lead. She's the perfect lead for this film. 'Ready or Not' is a very different and refreshing take on the slasher genre. I also loved the setting in the big mansion. The film is wonderfully mysterious in the beginning and keeps you guessing until the finale. There's a few unexpected twists, as well. Insanely entertaining!","
            7/10
            "
"HollywoodFlicks","21 November 2019","Anyone rating this movie a 1 or 2 probably only watches 5-10 movies a year. I've watched over 100 this year and can say that this one isn't bad. It's a fun Dark comedy Thriller. Easily a 6-8 depending on preference.","
            6/10
            "
"GusherPop","30 November 2022","Grace (Samara Weaving) loves Alex Le Domas (Mark O'Brien) so much that she's tolerated the hoops through which his family have made her jump: Alcoholic wastrel Daniel (Adam Brody) hitting on her, mother Becky (Andie MacDowell) being somewhat cagey about her approval, sister Emilie (Melanie Scrofano) not even showing up in time for the ceremony, father Tony (Henry Czerny) outright voicing his displeasure at the girl's status and aunt Helene (Nicky Guadagni) staring daggers at her from the moment they met. They're a bizarre bunch but Grace sees the light at the end of the tunnel now that they've all congregated at the Le Domas manor for the nuptials. However, and it's a big however, the film is charismatic and thrilling enough to bypass its shortcomings. Weaving makes for a very likable hero, with a broad comedic appeal, an every-girl clumsiness and sarcastic rejoinder for everything. In a better world, she'd be headlining comedies already. She makes for a likable action hero precisely because she knows and shows that the clothes don't fit her. In her tattered wedding dress, she fights for her life against everyone from her young nephews to the butler. Every wound she receive shows her that the backwards morality by which the rich live is so deeply ingrained that no amount of pleading could right the course. It's also her first clue that not even her beloved Alex will be able to get her out of this jam. She's not just fighting people, she's fighting tradition and the idea of family. By the time the games come to an end, ""Ready or Not"" has ceased to be about the rich and the poor. It's about a girl trying to survive a violent ordeal, which is potent enough for the moment you're watching the film, but in a climate in which politics can pull a film from a release schedule, now is not the time to hide.","
            8/10
            "
"Bibliophile100","8 February 2023","As Katniss Everdeen said in the final book (and film) of The Hunger Games: ""There are much worse games to play"". The game in the comedy horror film Ready or Not...is definitely one of those ""worse games""!When a bride-to-be is married into a lavish, rich, and weird family, she soon discovers that they really stick to tradition...and tradition in this house, is anything but fun and games! Each time someone is welcomed into the family, they must play a game. For the bride, the game is hide and seek. All she has to do, is avoid being caught by dawn. Sounds easy right? Well, not with the family armed with ancient weapons and planning to perform a ritual on you it isn't! With the bride's new husband being the only reluctant and helpful one, she must outwit, out hide, and out smart the deranged and insane clan, until a supposable curse threatens to, supposably kill the family!I made a brilliant choice to see this film! And you will too, if you decide to play the game! The direction of Mr. Matt Bettinelli Olpin, and Mr. Tyler Gillett is excellent! I loved how the camera follows and moves with those who are running for their lives, and the still shots on lots of stuffed animal heads and pictures on the walls; these shots made the film seem a bit like a 90's or 80's era film, which I appreciated. The dark humor was pretty good too, but I especially loved the acting. I adored all the cast members and their splendid talent, especially, Samara Weaving, who played the traumatized, and frightened bride! As for the supposable death that will befall the family if dawn arrives...well, even they aren't sure if it's true! And that's part of the curious mystery!To any brides-to-be-wedded-into-a-new-family, be careful whose family you're welcomed to join, for as the words on the movie poster say: ""In-laws can be murder!""","
            7/10
            "
"TBJCSKCNRRQTreviews","29 January 2023","A bride's wedding night becomes a nightmare.This is about class warfare which is here made literal. Thankfully, much like in real life, the 1% are impressively incompetent. Many of them will spend their entire lives failing upwards, like for example Donald Trump, who was President when this hit theatres. This doesn't have anyone who's a direct analogue for him, although some of the more notable things about him are spread across multiple, like terrible hair, overconfidence, etc.This manages to be one of the most tense and hilarious films I have ever seen. Like Jordan Peele, directorial duo Matt Bettinelli-Olpin and Tyler Gillett understand that today, it is necessary to subvert some of the horror tropes because otherwise we know what's coming. However, others have to be played straight, otherwise it becomes a parody, which is not the desired outcome.This features some bloody, gory, violent, disturbing content, and a lot of swearing. I recommend this to any progressive with a tough stomach. 8/10.","
            8/10
            "
"aidanratesmovies","23 February 2020","Surprisingly smart, nimble, and by far an absolute blast- Ready or Not truly makes the best of its absurd premise, by not taking itself too seriously and finding a sheer sense of energy and balance between the humor and the chaos ensued. Samara Weaving leads a surprisingly great cast, with a performance that was absolutely perfect for the role involved. All other characters gave quite good performances as well, and to my surprise, none of their acting seemed too forced or taken too far. The script at times can prove to be a bit messy, but it is all in good fun, and by the time it is over, you will almost be impressed with the lengths it covered in such a short runtime. The pacing is quite good, and the cinematography is quite brilliant. For such a small budgeted film, you can't help but be blown away by the amount of quality involved in such a film. It simply shouldn't be and feel as it good as it is, and yet, it is true. Ready or Not is easily one of the best surprises of 2019, and proves that an absurd concept can be quite a good film, if having the right people involved.
My Rating: 9.5/10","
            10/10
            "
"claudio_carvalho","19 December 2019","Grace (Samara Weaving), who was raised in foster houses, meets Alex Le Domas (Mark O'Brien), who belongs to a wealthy traditional family, and they soon fall in love with each other. They decide to get married to each other at the Le Domas mansion and during the wedding night Alex tells to Grace that shall play a game to join the family. Grace meets the whole family in an isolated room and draws a card from the deck. When she shows the ""Hide and Seek"" card, the family members ask her to hide while they hunt her down in the mansion in a weird ritual to Satan.""Ready or not"" is a black humor comedy with lots of gore highly funny for fans of the genre. The characters are great: Alex´s brother Daniel is alcoholic; his wife Charity is a hunter of dowry; Alex´s father Tony is a wealthy man who cares to the tradition; his wife Becky seems to be reasonably sane but the family comes first; Alex´s sister Emilie is a crazy addicted woman; her husband Fitch is a lazy man; Alex´s Aunt Helene is evil. When the hunting starts, the situations are funny and non-sense as dawn approaches and the family fears to be terminated by Satan. My vote is six.Title (Brazil): ""Ready or Not - O Ritual"" (""Ready or Not - The Ritual"")","
            6/10
            "
"iamianiman","22 August 2019","Ready or Not is a fresh take on the slasher genre. It crafts a creative arch on the basic storyline concept that is rarely done in movies with similar genre. It is not the typical house invasion or vacation goes wrong.Ready or Not serves a plate of dark comedy that escalates as the run time goes along. What makes this so great is the general get to spot each laugh easily, not just its specific target audience.For a slasher film, Ready or Not deserves an applaud for its remarkable acting performances by the cast. Everyone shows their distinct characters from behaviour to costume that they are so entertaining to watch similar to that feeling when you get dozens of characters to choose from in a game.The lead character, the one who you will be rooting for is created in such a way that she is not dumb like in most movies. However, she is not smart either but the circumstances make her character safe from the trap of being a daft person. In other words, the movie does not unravel her intelligence nor her ludicrous manner.Also, the lead character has little to no character development. The fundamental question of her historical context and background is extremely lacking that we as the audience fail to connect with her as humanely as possible.The biggest complaint has got to be the rushing third act (final 30 minutes). The first two acts peel its layer off one by one steadily but the third act however loses its balance and goes downhill. They tried to do something completely different but it fails to satisfy the audience because we want something more pleasurable than what they have given us.Verdict: Ready or Not is a phenomenal gem that breaks the stigma free of 'slasher genre is dead'. However, it is not considered a masterpiece although seems very close due to its disastrous third act nature that falls short compared to the other two acts.","
            7/10
            "
"BA_Harrison","26 September 2019","After Grace (Samara Weaving) marries into a wealthy family who have made their fortune creating board games, she finds that she must participate in a game of hide and seek before she will be properly accepted as one of the clan. But as Grace hides in the sprawling family mansion, her new in-laws tool up with a variety of weapons and set out to find and kill the young woman as part of a Satanic ritual.After watching Mayhem and The Babysitter, I found that I had developed a strong aversion to Samara Weaving's scream, a horrible warbling sound that sets my teeth in edge, but I was willing to try and put my animosity to one side for Ready or Not, the trailer for which looked like a lot of fun. I failed: her scream still got on my nerves, but as it happens, Weaving's warbling was just one of many reasons why I didn't enjoy this film.All of the characters are unlikable (Grace included) and unbelievable (husband Alex does a 180-degree personality flip), the plot goes nowhere for most of the film, the intended dark comedy falls horribly flat, the ending is predictable (reminding me a little of Drag Me To Hell), the location is underused (the servants tunnels, in particular, are totally wasted), and for a film given an 18 certificate for 'bloody violence and strong scenes of gore', there's very little in the way of inventive or graphic kills. Also, try as hard as you can, but you'll never convince me that it is possible to saw through a solid piece of hardwood with the chain on a pair of handcuffs.Save your money, save your time and save the strain on your ear drums (that scream!!!).3.5/10, generously rounded up to 4 for the creepy Hide and Seek song.","
            4/10
            "
"jan_lovefool","23 November 2019","If you didn't have fun watching this movie, then you're looking at it the wrong way. It's supposed to be silly. For horror/thriller/B-movie fans, this was a gold mine. The concept was refreshing. If you're not smiling at the end of the movie, then this genre isn't for you.","
            10/10
            "
"SnoopyStyle","28 October 2020","Grace (Samara Weaving) and Alex (Mark O'Brien) are getting married at his rich family's massive estate. She's informed that she must play a game before being admitted into the family. It's a matter of life and death.I didn't expect much from this B-horror with no big fanfare. One or two of these fun little horrors out-jumps its peers every year and this is one of them. It has a lot of fun. Samara is a solid lead. It has a fun takedown of wealth and family corruption. The movie takes a fun thrill-filled idea and executes it. It's comparable to Happy Death Day.","
            7/10
            "
"rivertam26","21 February 2020","This wild little horror gem centers on a feisty young woman who gets married to the member of a crazy rich family whom she discovers plays a game to determine if their new member will be a sacrifice or not. The movie is tongue and cheek and is filled with gags both creepy and hilarious. The lead performance from Samara Weaving, so great in Netflix's the Babysitter is truly a thrilling, layered portrait. All in all the movie is fun even if it feels a slight bit gimmicky at times.","
            8/10
            "
"jtindahouse","9 September 2019","The first thing you'll notice when watching 'Ready or Not' is how good the dialogue is. Horror movies are notorious for having terrible, bland, uninteresting dialogue, but the lines written for this film (and it does help that there are some very good actors delivering them to be fair) are superb. That sets the tone, and then the story takes over. I love how mysterious this movie is. You're always on edge because you feel like the film has more up its sleep than its showing you. This is a really well made horror movie.The cast of characters is just so great. There isn't a bland one amongst them. They all add something to the film and collectively make it so great. I would be remiss not to mention Samara Weaving in the main role. She is incredible. She is the horror character filmmakers dream of creating, because you can't help but root for her.Even though this was a great movie throughout, I couldn't help feeling the ending was going to play a large part in how people were going to feel about it. So did it stick the landing? It did so and more. The ending was handled brilliantly and was the icing on the cake to an already great film. I can't recommend 'Ready or Not' highly enough. See this film.","
            9/10
            "
"lasttimeisaw","27 November 2019","""More successfully deployed is the wacky tone that is against the grain of the default somber and grisly timbre, the persecutors are not cynical, morbid sickos but gormless Wasp ne'er-do-wells, who are set out to kill only to save their own skin, thus introduces risible characters like the drug-popping, lethally accident-prone Emilie Le Domas (Scrofano), and her cheekily skeptical, shiftless husband Fitch (Brunn), who can languidly take his time to google ""how to use a crossbow"" amidst the hair-raising hunting game.""read my full review on my blog: cinema omnivore","
            7/10
            "
"nogodnomasters","13 September 2019","The film is a dark comedy and a generic spoof of family ritualistic satanic films. It opens with a wedding to Beethoven's 9th symphony D minor etc played during ""Clockwork Orange"" while Alex DeLong was being tortured by his own love for the music. Grace, a commoner (Samara Weaving) is going to wed Alex Le Domas whose family has ""more money than God."" They made their money from the manufacturing of games. At Midnight, they must play a game drawn from a card taken from an old box that they play or die. Grace was hoping for checkers.The title hints at the game and film poster of an armed bride who is dirty, tattered, and torn tells you what happens. The film had a number of light moments with an ending that made me laugh. Melanie Scrofano plays Emilie who loves her cocaine and can't shoot straight. Some of the players are apathetic about the game but play because they are told they must or die. The family consisted of a cast of characters that made the film fun.Guide: F-word. No sex or nudity.","
            8/10
            "
