"Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Mean Girls (2024)","nicolaelln-83746","19 January 2024","I don't understand why they'd even bother to do this?Messy and weird.Why is it a musical? Why are the teachers the same but not the rest of the cast? The new plastics are awful but cady was worse.Targeting the typical genz audience and ruining a classic. All for a lazy cash grab.Tina please don't try to reboot anymore classics.This keeps happening with movies haven't they learned yet? It was so bad we actually walked out toward end of second half early it was unwatchable my daughter hated it too.I don't think this should even be a one star it's a zero star effort but wouldn't let me leave zero.","
            1/10
            "
"Mean Girls (2024)","mjanelle-24974","14 January 2024","I really wanted to like this one. I really did. I love the original, and of course, i know this is a different movie, based on the Broadway musical based on the original (and all written by Tina Fey). Of course i know that there was no need for a direct remake, since the original was near perfection. However, this just didn't work. There was no chemistry, no motivation for the characters. I did like that it's done from Damian and Janice's point of view. But the rest of it feels flat.The positives - Renee Rapp has a voice on her, as does Jeremy Spivey. For me they were the highlights of the show. There are some cute moments. Some new lines, but nothing really memorable or quotable.So, meh. It was OK.","
            6/10
            "
"Mean Girls (2024)","writetonight-1","13 January 2024","For those of you who are fans of the Broadway musical, here is a list of the missing music:
""It Roars"" (replaced with a song that's not as good)
""Where Do You Belong?"" (What were they thinking by leaving out this showstopper?!)
""Meet The Plastics"" (Only Regina's first few verses were sung. Gretchen & Karen's parts were cut)
""Fearless""
""Stop"" (Again, what were they thinking by cutting out a showstopper?)
""What's Wrong With Me"" (reprise)
""Whose House Is This?""
""More Is Better""
""Do This Thing""This is supposed to be a film version of the musical, not a remake of the original fetch & flawless film. So, leaving out so many songs was a bad idea. The characters all suffered from this choice; they all seemed too bland.Cady did not sing ""Apex Predator."" Instead, Damian sang ""And though Janice is great, she does not have this power,"" while Janice shrugged. This was such a poor choice, because we didn't see Cady falling under Regina's spell. Gretchen's changing relationship with Regina didn't play out well. The actress who played Gretchen captured the character when she spoke, but when she sang ""What's Wrong With Me"" in Regina's closet, it just didn't make me feel for her. Something got lost in translation.A lot of the comedy was lost in this version. Although ""Sexy"" was filmed well, Karen just wasn't as funny as she was in the 1st movie or the Broadway version. Damian wasn't as funny; without his biggest songs, he didn't shine.""Fearless"" may not have been the biggest hit song, but I felt the loss of it. There needed to be a sharply hit moment when Cady realizes she is the new Queen Bee, freed of her oppressive relationship with Regina. The original film used voiceover to convey that realization and the musical used the song ""Fearless."" The film musical kind of glossed it over.Another thing that was missing was the image of all the plastics walking together, all looking beautiful and glamorous. ""Being in the Plastics was like being famous."" On Broadway, ""Apex Predator"" captured that feel, but in this movie, the song focused on Regina alone and lost the power of the clique.The Plastics just weren't feminine enough. Everyone looked too tough. It was like this version took place at the ""south side"" school that the principal said he left in the original. Even the nerds didn't seem nerdy enough. Regina started out looking like she had already been eating Calteen bars for months and we didn't see her change after Cady tricked her.The chemistry between Cady and Aaron also did not come through. Leaving out ""More Is Better"" and the Aaron's part in ""Stupid With Love"" didn't help.""I See Stars"" was a magical finale on Broadway, but this film did not end with musical magic.What did I like? ""Revenge Party"" was still lots of fun and it was filmed in a colorful way. ""World Burn"" was done well, and ""I'd Rather Be Me"" had a great energy.","
            6/10
            "
"Mean Girls (2024)","bridgettnelson","13 January 2024","Here's the thing, I went in with medial expectations or knowledge of the songs or actors in this movie. I just know that I love the original movie and was excited to see a fun new take on the original. It wasn't the worst thing, but I was surprised at how low budget it felt while I watched it. I even adjusted my eyes a couple times thinking maybe it was me. The songs were great, well performed. The dancing was legit and fun. The acting was below average. The execution was poor. It repeatedly misses the mark. I felt like I was watching a lifetime movie in the theaters. I was disappointed but, it's hard to remake a classic, and this is an example of that. I do think Regina was excellent in this film, but that's about it. Swing and a miss.","
            3/10
            "
"Mean Girls (2024)","maxwellpoth","12 January 2024","I'm sorry. I'm never one to really complain about a film on here but this movie was CLUNKY. The cast did a great job but the directing and dialogue was OFF. It was so forced. None of the jokes landed. Before someone even finished a line or a joke they were already starting the next scene.There was absolutely no flow. The movie felt like an unorganized fever dream. The only reason I'm giving it anything more than 1 star is because the cast really did slay. Regina sang her heart out. Karen won best actress. Cady and Gretchen were meh. Everyone else also did well. The movie was just made and put together without any direction.Sad that this had so much potential.","
            3/10
            "
"Mean Girls (2024)","katyjackson-27343","21 January 2024","Ah dear lord. I am a huge fan of the original Mean Girls film but this adaption was just a train wreck. I was really looking forward to it but after 45 I couldn't take any more and walked out. This is coming from someone who's walked out on maybe 3 films ever and I have a Cineworld card. Really liked the new plastic cast (Regina especially) and Cady was okay but the rest were poor. The songs were awful and just so randomly placed. Each time they started a new one I was like 'please not again'. I shall be rewatching the original so I can attempt to erase this god awful film from my memory. Even bringing back some of the og's didn't help.","
            1/10
            "
"Mean Girls (2024)","aliminx","21 February 2024","This just never should have happened. I hated literally every aspect of this remake. None of the new actors rose to the level of the originals. Period. Regina wasn't awful, but she lacked a lot and never gave the vibes the OG did. Did not like Cary's actress, at all.The songs....ugh. This might work beautifully on a stage, but it doesn't work here. Listening to the lyrics I realized that they were supposed to be funny, but I wasn't even smiling, much less laughing. I see a lot of reviews saying that the characters can't sing, and I think that aspect was fine - they can all sing well, I just hated what they were singing. Cady singing at a jewelry box asking it what's wrong with her? No thank you at all.Overall, awful awful awful. So sad it was even made.","
            1/10
            "
"Mean Girls (2024)","MiniCooper91","13 January 2024","So this movie really tried but the downside is you can see and feel how hard they tried. Let me explain. They wanted to have the feel of the original but still make it feel like 2024, after all, there's a big different between the times lf the original and the musical. The musical part was fun...sometimes. Some of these actors/actresses just weren't good at singing. I adored Karen's ditzy side in the original but I just couldn't like her character in this one. Same with Regina, she was the ultimate mean girl in the original. In this remake I felt like she just couldn't reach that level. The look and feel of the whole movie is a little off. Just don't go in with high hopes and you'll have a fun time! I think I made a mistake by comparing every scene to the original but I love the original and I was just so excited for this version! 6 stars for making me feel nostalgic but -1 star for making me leave the theater disappointed.","
            5/10
            "
"Mean Girls (2024)","malmevik77","26 January 2024","Mean Girls (2024)What a piece of garbage! This unfunny, uninspired, unnecessary film somehow exists. The original is a classic, and I don't mind remakes, or reimagining, of films. This should-have-been-direct-to-video turd is the film version of the musical. OK, I'm on board with a musical but there are no good songs, at all. There are also no good performances, by anyone. Bad staging, bad costumes, just bad bad bad.I made it through the whole thing, somehow, because there are a few giggle worthy moments, and all of them are from the actress who plays Karen: Avantika.The problems with this version of the film are myriad, but the worst offender is that I have yet to find any mean girls. The creators of this decided that the world has had enough of being mean, gosh darn it, and threw their tantrum as one throws spaghetti at a wall hoping something would stick. What stuck was an overabundance and forced-down-your-throat attempt at diversity and inclusion that, oh by the way, has some plot thing that's glossed over.Seriously. It's nearly 2 hours of ""look at me! I'm special!"" performances that is definitely not a representation of the real world. I wanted to actually see mean girls, not 2 idiots and a leader who is detached from reality. You can even tell that nobody fears these people. Regina George also needs a stylist. These people are called the plastics, but you'd never know. The ""clique"" is very much the sad and pathetic, while the awesome people are caricatures of all the stereotypes you can possibly imagine, unless you're white and straight. Then you're homely, not attractive, and downplayed for loud, obnoxious and flamboyant characters.Avoid this at all costs. There is no message worth searching for as the film is quite clear from the start with their ""yay! Diversity equals everyone's happy!"" I think I'd be less harsh if they didn't advertise this as Mean Girls. It is nowhere near that.","
            1/10
            "
"Mean Girls (2024)","taybear-21075","12 January 2024","Cady literally could not hold a tune in this MUSICAL movie. Renee was phenominal as well as 90% of the supporting cast. However, I thought that the way they redid the iconic rock songs seemed lazy and the camp theme from the broadway musical just was not hitting the same. Really felt like they were holding back with the jokes and the meanness of the movie. Cady was more unlikable than the main mean girl which is really saying something. The casting of Cady really put a bad taste in my mouth the whole movie - they took the OG songs and gave her parts to other cast members because she couldn't even hold a tune. Whoever her agent is needs to be fired bc why would they put that poor girl in a musical.","
            4/10
            "
"Mean Girls (2024)","UniqueParticle","20 January 2024","I saw in RPX earlier today which was solid but didn't help much. I'm sure writing most the dialogue was easy since the bulk of it was the same as before with decent musical notes. I should note I hate musicals I just wanted to see this regardless, I'm blessed it was 2 bucks for my RPX ticket with my regal subscription. Positives I should say I still laughed a few times and enjoyed a fair amount; I usually praise nearly everything I watch in this case Mean Girls was a big disappointment! I must say I don't know what they were thinking creating a remake especially as a musical, the plastics weren't as admirable, the acting was worse, and amazing vibes that the 2004 version had just wasn't there in this one! One of the great aspects is 3 original cast members are in this, the rest of the cast was solid. Appreciate my thoughts or not I'm a guy with autism proud of it too.","
            4/10
            "
"Mean Girls (2024)","aguilera1685","12 January 2024","Caught an advance screening, and 3/4 of the people around me agreed - it was just ok, but not good. NO HATE, but 90% was a downgrade from the original complex and multilayered material where everyone, down to cast with just one line, delivered absolute STAR power. In 20 years since that original, a lot has evolved within the high school arena, so production naturally had to tweak some things to make it work. Some of it works, much doesn't.Judging on its own merits, I feel it simply would work better on a stage, and that the biggest fault lied with Casting, who hired *singers* who needed more time with acting coaches. I'd probably like it in a stage setting. BUT, this is the silver screen - and the magnifying glass is much less forgiving.The biggest offender for me - and seriously NO HATE because she seems super lovely and may just be better suited in other things - was Karen. Every moment with her was eyeroll inducing. The acting was actual amateur high school production level (at best) cliche ditz caricature with zero nuance. Gretchen lacked any energy or drive, or that absolutely obsessive DESPERATE need to be needed by her queen - she was instead very pedestrian. Not a member of the queens herself but just a follower. And that Queen (Regina) didn't give me the level of commanding stone cold respect and fear in the student body like the OG did. While the actress is very beautiful and talented, she didn't deliver on the respect-demanding queen bee of the school for me. It felt like a Nickelodeon show or something. The trio all fell so flat - they weren't QUEENS of the school who everyone bowed down down to and lived in fear of, they're actually just the wannabe girls who would have worshipped and aspired TO BE that original trio.I truly didn't understand the change of Jingle Bell Rock at all and how the school was so quickly able to turn on Regina when she essentially suffers an actual big accident on stage and people are then essentially posting upskirt vid of it. Baffling and unrealistic. Hit by a bus is the bar to be deserving of pity but not the stage mishap? Uhhok. Damien's song choice change however? Hilarious. Getting diarrhea on a Ferris wheel is way too extreme and actually mortifying vs the previous nuanced ""at Barnes and Noble"" where it would be just embarrassing for the character knowing her friends knew. The difference between overly dramatic teen girls and everyone in real life. Overshot on that one. And while Tina and Tim being in a relationship is a fun evolution on their flirty repartee in the original, Ms Norbury's divorce and life-in-shambles aspect brought a lot in to the character. Although hilarious, she's more one-dimensional now.I'm sorry but Aaron Samuels is supposed to be *h-o-t-t* and he's just a regular guy. There's no context to make him so desired by the Queen of the school and it makes no sense. It's like the character of Guy in Never Been Kissed - the movie wants us to believe he's a heartthrob but doesn't give us the goods to do so. Why casting was so forgiving when he doesn't even bring singing talent leaves me scratching my head. And Busy Philipps, who I normally enjoy, felt like a one-dimensional cardboard cutout of the role that Amy Poehler gave so many layers to, a total tour de force and showstealer.Damien and Janis were fine actors and good singers, though I would have liked them to feel like more of outcasts. Janis was punk and glam and fierce, not a social outcast. With this generation being more accepting of alternative lifestyles and less inclined to outright bully and ostracize, I understand how that presented a challenge to the filmmakers, but they didn't deliver at accomplishing it, and I feel thats integral to the story.NOW, for the GOOD, Cady had excellent energy and played her role well in both acting and singing. Grand slam there. Tina Fey was effective at changing Ms Norbury enough to keep it fresh, while allowing for things that were omitted to not be mourned - bravo! The bit like she was about to break into song but was just clearing her throat was a riot. I also really appreciated this slightly elevated version of Regina post-accident. Being drugged up and having a resolution wth Cady and being loopy at the Spring Fling was a fresh and funny take. And obviously, it was great to see the cameos and Easter eggs- Lindsay saying this has only happened once before, the cutout tanktop brief flash, etc.Obviously, with more negative takes than positive, I understand people won't be happy or agree with my assessment, but it's just the reality of how I felt. NO hate towards this very vocally talented cast, I wish them all the best in their future works!!! But I don't feel any need to revisit this one. It turns out, the limit does, in fact, exist - and it's just 1. But decide for yourself.","
            4/10
            "
"Mean Girls (2024)","Tayyasqueen","26 February 2024","I absolutely love the original Mean Girls. It's a damn classic. This new one was difficult for me to watch. The mean is too mean somehow? Regina and all the other characters in the original were more subtle and comedically with it. I love Renee Rapp and only watched for her, but the film let me down. It feels like there is no life and depth to the characters. Maybe with the musical numbers, there simply is not enough time to develop and go deeper into their stories. It feels flat and was difficult to get through. With that said, the actresses and actors are beautiful, and the film is visually well executed!","
            3/10
            "
"Mean Girls (2024)","javierbaron2008","12 January 2024","I saw it yesterday out of curiosity. I don't recommend it.Too many sung dialogues. The new version of Mean Girls, by using so many musical scenes that look like video clips, forgets to give adequate development to the characters. They look one-dimensional, flat. Unlike the original, which was a good movie because of the good construction of characters.They focused too much on the musical and the film has narrative gaps and potholes. Empty and plastic.You leave the room and immediately forget about it.An unnecessary remake.Everything good that the 2004 version had does not appear anywhere here.Although Angourie Rice is a good actress and a good choice for the lead, she can't do much with a script that doesn't offer much to her.","
            5/10
            "
"Mean Girls (2024)","kevin_robbins","15 January 2024","My wife and I caught Mean Girls (2024) in theaters last night. This musical tells the story of a girl homeschooled in Africa who returns to the U. S. and faces the challenges of high school - navigating cliques, understanding popularity, and trying to survive.This picture is codirected by Samantha Jayne and Arturo Perez Jr. (Where Have All the Flowers Gone), and stars Angourie Rice (The Nice Guys), Reneé Rapp (The Sex Lives of College Girls), Jaquel Spivey, Avantika (Senior Year), Christopher Briney (The Summer I Turned Pretty), Tina Fey (Date Night) and Tim Meadows (The Ladies Man).This musical rendition of ""Mean Girls"" is brilliant, showcasing some characters, songs, and circumstances that outshine others. Overall, it's a worthwhile experience. Reneé Rapp, Avankita, and Bebe Wood shine, rivaling or even surpassing ""The Plastics"" from the original. Angourie Rice delivers a solid performance, though less compelling than Lindsay Lohan, and Christopher Briney holds his own. The entire cast is stunning, and Jaquel Spivey delivers an amazing breakout performance. The ""Cautionary Tale"" opening and the two songs during the costume sequence stand out, along with the ""wild animals"" high school scene. The sets, attire, and props are impeccably chosen, making the unfolding story enjoyable despite its predictability.In conclusion, Mean Girls may not reach the heights of the original, but its comedy and solid delivery of musical numbers make it a must-see. I'd score this a 7-7.5/10 and strongly recommend it, especially for fans of the original movie.","
            7/10
            "
"Mean Girls (2024)","sammy-gibson","25 February 2024","First off, let me start by stating that I generally don't care for musicals. That being said...This one takes ""Musical"" to a whole new ""Cheesy"" level! I'm not sure what the target audience was with this one but it most certainly was not me.Either, I'm way to old to connect with this, or this is one of the most horrible movies out there right now.Saving grace was the acting of a couple characters pretty much ""Hard Carried"" this film. There was also a nice cameo in this flim as well. It did, for the most part follow the original story (Almost word for word).In conclusion:
I would not recommend this to anyone I know.","
            2/10
            "
"Mean Girls (2024)","bloodthirstysiren","13 January 2024","The original movie is one of my favorite movies. I went to see this at the theaters and was disappointed. I would not suggest watching this unless it's free bc it was a waste of money. I was really hoping it wouldn't be as bad as the 2nd mean girls movie.....& it was. They tried to be too serious and funny at the same time but the most funny part of the original movie is that they didn't take anything seriously. I didn't really like that it was a musical it gave a corny vibe. Not because they weren't talented singers but more because a lot of the cast was better singers than actors. I did like some actors. I'm sorry but Gretchen was not giving off the same vibe it felt so forced. Katy was not the same either 😒","
            2/10
            "
"Mean Girls (2024)","ebbamadsen","10 January 2024","It was fun but not a good movie. The music is really meant for live action and the movie kinda just looks like a bunch of music videos. The original is way better and has better pacing than this version. Plus 80% of the actors are not fit for the roles they got. It's also missing the best part which is the original Christmas show dance. Some of the meta jokes were fun but they didn't space them out enough. The mean girls were not mean enough and it seems they were very afraid of offending which I get but this feels like they put safety guards on bullying. Also the lesson is punched so in face you can't not understand it and made me feel like they thought I am stupid.","
            5/10
            "
"Mean Girls (2024)","enapaponja","7 February 2024","I was one of many who walked out of the cinema. I was so excited to watch this as a Mean Girls fan but this was genuinely painful. I'm quite open minded when it comes to musicals, even if they can seem a bit out of place - this however, was just bad altogether. The plot, the cast, the jokes, the singing - nothing made sense when put together. It was so bad I'm not sure what to even write here. Some of the best things about Mean Girls was completely cut out and then some bits were just identical when they didn't need to be. I felt like I was watching a bad remake of the movie shot by a highschool drama class.","
            1/10
            "
